   1               		.file	"list_runtime.c"
   2               	__SREG__ = 0x3f
   3               	__SP_H__ = 0x3e
   4               	__SP_L__ = 0x3d
   5               	__CCP__  = 0x34
   6               	__tmp_reg__ = 0
   7               	__zero_reg__ = 1
   8               		.global __do_copy_data
   9               		.global __do_clear_bss
  17               	.Ltext0:
  18               	.global	list_is_float
  20               	list_is_float:
  21               	.LFB29:
  22               	.LM1:
  23               	.LVL0:
  24               	/* prologue: function */
  25               	/* frame size = 0 */
  26               	.LM2:
  27 0000 40E0      		ldi r20,lo8(0)
  28 0002 FC01      		movw r30,r24
  29 0004 2681      		ldd r18,Z+6
  30 0006 3781      		ldd r19,Z+7
  31 0008 8091 0000 		lds r24,float_descriptor
  32 000c 9091 0000 		lds r25,(float_descriptor)+1
  33               	.LVL1:
  34 0010 2817      		cp r18,r24
  35 0012 3907      		cpc r19,r25
  36 0014 01F0      		breq .L5
  37               	.LM3:
  38 0016 842F      		mov r24,r20
  39               	/* epilogue start */
  40 0018 0895      		ret
  41               	.L5:
  42               	.LM4:
  43 001a 41E0      		ldi r20,lo8(1)
  44               	.LM5:
  45 001c 842F      		mov r24,r20
  46 001e 0895      		ret
  47               	.LFE29:
  49               	.global	list_is_int
  51               	list_is_int:
  52               	.LFB30:
  53               	.LM6:
  54               	.LVL2:
  55               	/* prologue: function */
  56               	/* frame size = 0 */
  57               	.LM7:
  58 0020 40E0      		ldi r20,lo8(0)
  59 0022 FC01      		movw r30,r24
  60 0024 2681      		ldd r18,Z+6
  61 0026 3781      		ldd r19,Z+7
  62 0028 8091 0000 		lds r24,int_descriptor
  63 002c 9091 0000 		lds r25,(int_descriptor)+1
  64               	.LVL3:
  65 0030 2817      		cp r18,r24
  66 0032 3907      		cpc r19,r25
  67 0034 01F0      		breq .L9
  68               	.LM8:
  69 0036 842F      		mov r24,r20
  70               	/* epilogue start */
  71 0038 0895      		ret
  72               	.L9:
  73               	.LM9:
  74 003a 41E0      		ldi r20,lo8(1)
  75               	.LM10:
  76 003c 842F      		mov r24,r20
  77 003e 0895      		ret
  78               	.LFE30:
  80               	.global	list_is_node
  82               	list_is_node:
  83               	.LFB31:
  84               	.LM11:
  85               	.LVL4:
  86               	/* prologue: function */
  87               	/* frame size = 0 */
  88               	.LM12:
  89 0040 40E0      		ldi r20,lo8(0)
  90 0042 FC01      		movw r30,r24
  91 0044 2681      		ldd r18,Z+6
  92 0046 3781      		ldd r19,Z+7
  93 0048 8091 0000 		lds r24,node_descriptor
  94 004c 9091 0000 		lds r25,(node_descriptor)+1
  95               	.LVL5:
  96 0050 2817      		cp r18,r24
  97 0052 3907      		cpc r19,r25
  98 0054 01F0      		breq .L13
  99               	.LM13:
 100 0056 842F      		mov r24,r20
 101               	/* epilogue start */
 102 0058 0895      		ret
 103               	.L13:
 104               	.LM14:
 105 005a 41E0      		ldi r20,lo8(1)
 106               	.LM15:
 107 005c 842F      		mov r24,r20
 108 005e 0895      		ret
 109               	.LFE31:
 111               	.global	list_equal
 113               	list_equal:
 114               	.LFB36:
 115               	.LM16:
 116               	.LVL6:
 117 0060 0F93      		push r16
 118 0062 1F93      		push r17
 119 0064 CF93      		push r28
 120 0066 DF93      		push r29
 121               	/* prologue: function */
 122               	/* frame size = 0 */
 123 0068 EC01      		movw r28,r24
 124 006a 8B01      		movw r16,r22
 125               	.LM17:
 126 006c EE81      		ldd r30,Y+6
 127 006e FF81      		ldd r31,Y+7
 128 0070 DB01      		movw r26,r22
 129 0072 1696      		adiw r26,6
 130 0074 8D91      		ld r24,X+
 131 0076 9C91      		ld r25,X
 132 0078 1797      		sbiw r26,6+1
 133               	.LVL7:
 134 007a E817      		cp r30,r24
 135 007c F907      		cpc r31,r25
 136 007e 01F0      		breq .L21
 137               	.LVL8:
 138               	.L15:
 139               	.LM18:
 140 0080 20E0      		ldi r18,lo8(0)
 141 0082 30E0      		ldi r19,hi8(0)
 142               	.LVL9:
 143               	.L18:
 144               	.LM19:
 145 0084 C901      		movw r24,r18
 146               	.LVL10:
 147               	/* epilogue start */
 148 0086 DF91      		pop r29
 149 0088 CF91      		pop r28
 150               	.LVL11:
 151 008a 1F91      		pop r17
 152 008c 0F91      		pop r16
 153               	.LVL12:
 154 008e 0895      		ret
 155               	.LVL13:
 156               	.L21:
 157               	.LM20:
 158 0090 2C81      		ldd r18,Y+4
 159 0092 3D81      		ldd r19,Y+5
 160 0094 1496      		adiw r26,4
 161 0096 8D91      		ld r24,X+
