   1               		.file	"core.c"
   2               	__SREG__ = 0x3f
   3               	__SP_H__ = 0x3e
   4               	__SP_L__ = 0x3d
   5               	__CCP__  = 0x34
   6               	__tmp_reg__ = 0
   7               	__zero_reg__ = 1
   8               		.global __do_copy_data
   9               		.global __do_clear_bss
  17               	.Ltext0:
  18               	.global	queue_is_empty
  20               	queue_is_empty:
  21               	.LFB22:
  22               	.LM1:
  23               	.LVL0:
  24               	/* prologue: function */
  25               	/* frame size = 0 */
  26 0000 FC01      		movw r30,r24
  27               	.LM2:
  28 0002 20E0      		ldi r18,lo8(0)
  29 0004 8081      		ld r24,Z
  30 0006 9181      		ldd r25,Z+1
  31               	.LVL1:
  32 0008 892B      		or r24,r25
  33 000a 01F4      		brne .L2
  34 000c 21E0      		ldi r18,lo8(1)
  35               	.L2:
  36               	.LM3:
  37 000e 822F      		mov r24,r18
  38               	/* epilogue start */
  39 0010 0895      		ret
  40               	.LFE22:
  42               	.global	queue_push_tuple
  44               	queue_push_tuple:
  45               	.LFB23:
  46               	.LM4:
  47               	.LVL2:
  48               	/* prologue: function */
  49               	/* frame size = 0 */
  50 0012 DC01      		movw r26,r24
  51               	.LM5:
  52 0014 8D91      		ld r24,X+
  53 0016 9C91      		ld r25,X
  54 0018 1197      		sbiw r26,1
  55               	.LVL3:
  56 001a 892B      		or r24,r25
  57 001c 01F0      		breq .L9
  58               	.LM6:
  59 001e 1296      		adiw r26,2
  60 0020 ED91      		ld r30,X+
  61 0022 FC91      		ld r31,X
  62 0024 1397      		sbiw r26,2+1
  63 0026 6083      		st Z,r22
  64 0028 7183      		std Z+1,r23
  65               	.LM7:
  66 002a 1296      		adiw r26,2
  67 002c 6D93      		st X+,r22
  68 002e 7C93      		st X,r23
  69 0030 1397      		sbiw r26,2+1
  70 0032 0895      		ret
  71               	.L9:
  72               	.LM8:
  73 0034 1296      		adiw r26,2
  74 0036 6D93      		st X+,r22
  75 0038 7C93      		st X,r23
  76 003a 1397      		sbiw r26,2+1
  77 003c 6D93      		st X+,r22
  78 003e 7C93      		st X,r23
  79 0040 0895      		ret
  80               	.LFE23:
  82               	.global	queue_pop_tuple
  84               	queue_pop_tuple:
  85               	.LFB24:
  86               	.LM9:
  87               	.LVL4:
  88               	/* prologue: function */
  89               	/* frame size = 0 */
  90 0042 DC01      		movw r26,r24
  91               	.LM10:
  92 0044 ED91      		ld r30,X+
  93 0046 FC91      		ld r31,X
  94 0048 1197      		sbiw r26,1
  95               	.LVL5:
  96 004a 3097      		sbiw r30,0
  97 004c 01F0      		breq .L11
  98               	.LVL6:
  99               	.LM11:
 100 004e 8081      		ld r24,Z
 101 0050 9181      		ldd r25,Z+1
 102 0052 8D93      		st X+,r24
 103 0054 9C93      		st X,r25
 104 0056 1197      		sbiw r26,1
 105               	.LM12:
 106 0058 892B      		or r24,r25
 107 005a 01F0      		breq .L13
 108               	.LVL7:
 109               	.L11:
 110               	.LM13:
 111 005c CF01      		movw r24,r30
 112               	.LVL8:
 113               	/* epilogue start */
 114 005e 0895      		ret
 115               	.LVL9:
 116               	.L13:
 117               	.LM14:
 118 0060 1296      		adiw r26,2
 119 0062 1D92      		st X+,__zero_reg__
 120 0064 1C92      		st X,__zero_reg__
 121 0066 1397      		sbiw r26,2+1
 122               	.LM15:
 123 0068 CF01      		movw r24,r30
 124               	.LVL10:
 125 006a 0895      		ret
 126               	.LFE24:
 128               	.global	p_dequeue
 130               	p_dequeue:
 131               	.LFB28:
 132               	.LM16:
 133               	.LVL11:
 134               	/* prologue: function */
 135               	/* frame size = 0 */
 136 006c DC01      		movw r26,r24
 137               	.LM17:
 138 006e ED91      		ld r30,X+
 139 0070 FC91      		ld r31,X
 140 0072 1197      		sbiw r26,1
 141               	.LVL12:
 142               	.LM18:
 143 0074 3097      		sbiw r30,0
 144 0076 01F0      		breq .L15
 145               	.LVL13:
 146               	.LM19:
 147 0078 8481      		ldd r24,Z+4
 148 007a 9581      		ldd r25,Z+5
 149 007c 8D93      		st X+,r24
 150 007e 9C93      		st X,r25
 151               	.LVL14:
 152               	.L15:
 153               	.LM20:
 154 0080 CF01      		movw r24,r30
 155               	.LVL15:
 156               	/* epilogue start */
 157 0082 0895      		ret
 158               	.LFE28:
 160               	.global	queue_length
 162               	queue_length:
 163               	.LFB44:
 164               	.LM21:
 165               	.LVL16:
 166               	/* prologue: function */
 167               	/* frame size = 0 */
 168 0084 FC01      		movw r30,r24
 169               	.LM22:
