   1               		.file	"core.c"
   2               	__SREG__ = 0x3f
   3               	__SP_H__ = 0x3e
   4               	__SP_L__ = 0x3d
   5               	__CCP__  = 0x34
   6               	__tmp_reg__ = 0
   7               	__zero_reg__ = 1
   8               		.global __do_copy_data
   9               		.global __do_clear_bss
  17               	.Ltext0:
  18               	.global	queue_is_empty
  20               	queue_is_empty:
  21               	.LFB22:
  22               	.LM1:
  23               	.LVL0:
  24               	/* prologue: function */
  25               	/* frame size = 0 */
  26 0000 FC01      		movw r30,r24
  27               	.LM2:
  28 0002 20E0      		ldi r18,lo8(0)
  29 0004 8081      		ld r24,Z
  30 0006 9181      		ldd r25,Z+1
  31               	.LVL1:
  32 0008 892B      		or r24,r25
  33 000a 01F4      		brne .L2
  34 000c 21E0      		ldi r18,lo8(1)
  35               	.L2:
  36               	.LM3:
  37 000e 822F      		mov r24,r18
  38               	/* epilogue start */
  39 0010 0895      		ret
  40               	.LFE22:
  42               	.global	queue_push_tuple
  44               	queue_push_tuple:
  45               	.LFB23:
  46               	.LM4:
  47               	.LVL2:
  48               	/* prologue: function */
  49               	/* frame size = 0 */
  50 0012 DC01      		movw r26,r24
  51               	.LM5:
  52 0014 8D91      		ld r24,X+
  53 0016 9C91      		ld r25,X
  54 0018 1197      		sbiw r26,1
  55               	.LVL3:
  56 001a 892B      		or r24,r25
  57 001c 01F4      		brne .L5
  58               	.LM6:
  59 001e 1296      		adiw r26,2
  60 0020 6D93      		st X+,r22
  61 0022 7C93      		st X,r23
  62 0024 1397      		sbiw r26,2+1
  63 0026 6D93      		st X+,r22
  64 0028 7C93      		st X,r23
  65 002a 0895      		ret
  66               	.L5:
  67               	.LM7:
  68 002c 1296      		adiw r26,2
  69 002e ED91      		ld r30,X+
  70 0030 FC91      		ld r31,X
  71 0032 1397      		sbiw r26,2+1
  72 0034 6083      		st Z,r22
  73 0036 7183      		std Z+1,r23
  74               	.LM8:
  75 0038 1296      		adiw r26,2
  76 003a 6D93      		st X+,r22
  77 003c 7C93      		st X,r23
  78 003e 1397      		sbiw r26,2+1
  79 0040 0895      		ret
  80               	.LFE23:
  82               	.global	queue_pop_tuple
  84               	queue_pop_tuple:
  85               	.LFB24:
  86               	.LM9:
  87               	.LVL4:
  88               	/* prologue: function */
  89               	/* frame size = 0 */
  90 0042 DC01      		movw r26,r24
  91               	.LM10:
  92 0044 ED91      		ld r30,X+
  93 0046 FC91      		ld r31,X
  94 0048 1197      		sbiw r26,1
  95               	.LVL5:
  96 004a 3097      		sbiw r30,0
  97 004c 01F0      		breq .L9
  98               	.LVL6:
  99               	.LM11:
 100 004e 8081      		ld r24,Z
 101 0050 9181      		ldd r25,Z+1
 102 0052 8D93      		st X+,r24
 103 0054 9C93      		st X,r25
 104 0056 1197      		sbiw r26,1
 105               	.LM12:
 106 0058 892B      		or r24,r25
 107 005a 01F4      		brne .L9
 108               	.LM13:
 109 005c 1296      		adiw r26,2
 110 005e 1D92      		st X+,__zero_reg__
 111 0060 1C92      		st X,__zero_reg__
 112 0062 1397      		sbiw r26,2+1
 113               	.LVL7:
 114               	.L9:
 115               	.LM14:
 116 0064 CF01      		movw r24,r30
 117               	.LVL8:
 118               	/* epilogue start */
 119 0066 0895      		ret
 120               	.LFE24:
 122               	.global	p_dequeue
 124               	p_dequeue:
 125               	.LFB28:
 126               	.LM15:
 127               	.LVL9:
 128               	/* prologue: function */
 129               	/* frame size = 0 */
 130 0068 DC01      		movw r26,r24
 131               	.LM16:
 132 006a ED91      		ld r30,X+
 133 006c FC91      		ld r31,X
 134 006e 1197      		sbiw r26,1
 135               	.LVL10:
 136               	.LM17:
 137 0070 3097      		sbiw r30,0
 138 0072 01F0      		breq .L12
 139               	.LVL11:
 140               	.LM18:
 141 0074 8481      		ldd r24,Z+4
 142 0076 9581      		ldd r25,Z+5
 143 0078 8D93      		st X+,r24
 144 007a 9C93      		st X,r25
 145               	.LVL12:
 146               	.L12:
 147               	.LM19:
 148 007c CF01      		movw r24,r30
 149               	.LVL13:
 150               	/* epilogue start */
 151 007e 0895      		ret
 152               	.LFE28:
 154               	.global	queue_length
 156               	queue_length:
 157               	.LFB44:
 158               	.LM20:
 159               	.LVL14:
 160               	/* prologue: function */
 161               	/* frame size = 0 */
 162 0080 FC01      		movw r30,r24
 163               	.LM21:
 164 0082 0190      		ld __tmp_reg__,Z+
 165 0084 F081      		ld r31,Z
 166 0086 E02D      		mov r30,__tmp_reg__
 167               	.LVL15:
