   1               		.file	"set_runtime.c"
   2               	__SREG__ = 0x3f
   3               	__SP_H__ = 0x3e
   4               	__SP_L__ = 0x3d
   5               	__CCP__  = 0x34
   6               	__tmp_reg__ = 0
   7               	__zero_reg__ = 1
   8               		.global __do_copy_data
   9               		.global __do_clear_bss
  17               	.Ltext0:
  19               	compare_int_values:
  20               	.LFB6:
  21               	.LM1:
  22               	.LVL0:
  23               	/* prologue: function */
  24               	/* frame size = 0 */
  25 0000 FC01      		movw r30,r24
  26 0002 DB01      		movw r26,r22
  27               	.LM2:
  28 0004 40E0      		ldi r20,lo8(0)
  29 0006 50E0      		ldi r21,hi8(0)
  30 0008 2081      		ld r18,Z
  31 000a 3181      		ldd r19,Z+1
  32 000c 8D91      		ld r24,X+
  33 000e 9C91      		ld r25,X
  34               	.LVL1:
  35 0010 2817      		cp r18,r24
  36 0012 3907      		cpc r19,r25
  37 0014 04F4      		brge .L2
  38               	.LVL2:
  39 0016 41E0      		ldi r20,lo8(1)
  40 0018 50E0      		ldi r21,hi8(1)
  41               	.L2:
  42               	.LM3:
  43 001a CA01      		movw r24,r20
  44               	/* epilogue start */
  45 001c 0895      		ret
  46               	.LFE6:
  49               	equal_int_values:
  50               	.LFB7:
  51               	.LM4:
  52               	.LVL3:
  53               	/* prologue: function */
  54               	/* frame size = 0 */
  55 001e FC01      		movw r30,r24
  56 0020 DB01      		movw r26,r22
  57               	.LM5:
  58 0022 40E0      		ldi r20,lo8(0)
  59 0024 50E0      		ldi r21,hi8(0)
  60 0026 2081      		ld r18,Z
  61 0028 3181      		ldd r19,Z+1
  62 002a 8D91      		ld r24,X+
  63 002c 9C91      		ld r25,X
  64               	.LVL4:
  65 002e 2817      		cp r18,r24
  66 0030 3907      		cpc r19,r25
  67 0032 01F0      		breq .L8
  68               	.LVL5:
  69               	.LM6:
  70 0034 CA01      		movw r24,r20
  71               	/* epilogue start */
  72 0036 0895      		ret
  73               	.L8:
  74               	.LM7:
  75 0038 41E0      		ldi r20,lo8(1)
  76 003a 50E0      		ldi r21,hi8(1)
  77               	.LM8:
  78 003c CA01      		movw r24,r20
  79 003e 0895      		ret
  80               	.LFE7:
  83               	compare_float_values:
  84               	.LFB10:
  85               	.LM9:
  86               	.LVL6:
  87 0040 CF93      		push r28
  88 0042 DF93      		push r29
  89               	/* prologue: function */
  90               	/* frame size = 0 */
  91 0044 FC01      		movw r30,r24
  92 0046 DB01      		movw r26,r22
  93               	.LM10:
  94 0048 C0E0      		ldi r28,lo8(0)
  95 004a D0E0      		ldi r29,hi8(0)
  96 004c 6081      		ld r22,Z
  97 004e 7181      		ldd r23,Z+1
  98 0050 8281      		ldd r24,Z+2
  99 0052 9381      		ldd r25,Z+3
 100               	.LVL7:
 101 0054 2D91      		ld r18,X+
 102 0056 3D91      		ld r19,X+
 103 0058 4D91      		ld r20,X+
 104 005a 5C91      		ld r21,X
 105 005c 0E94 0000 		call __ltsf2
 106               	.LVL8:
 107 0060 8823      		tst r24
 108 0062 04F0      		brlt .L13
 109               	.LM11:
 110 0064 CE01      		movw r24,r28
 111               	/* epilogue start */
 112 0066 DF91      		pop r29
 113 0068 CF91      		pop r28
 114 006a 0895      		ret
 115               	.L13:
 116               	.LM12:
 117 006c C1E0      		ldi r28,lo8(1)
 118 006e D0E0      		ldi r29,hi8(1)
 119               	.LM13:
 120 0070 CE01      		movw r24,r28
 121 0072 DF91      		pop r29
 122 0074 CF91      		pop r28
 123 0076 0895      		ret
 124               	.LFE10:
 127               	equal_float_values:
 128               	.LFB11:
 129               	.LM14:
 130               	.LVL9:
 131 0078 CF93      		push r28
 132 007a DF93      		push r29
 133               	/* prologue: function */
 134               	/* frame size = 0 */
 135 007c FC01      		movw r30,r24
 136 007e DB01      		movw r26,r22
 137               	.LM15:
 138 0080 C0E0      		ldi r28,lo8(0)
 139 0082 D0E0      		ldi r29,hi8(0)
 140 0084 6081      		ld r22,Z
 141 0086 7181      		ldd r23,Z+1
 142 0088 8281      		ldd r24,Z+2
 143 008a 9381      		ldd r25,Z+3
 144               	.LVL10:
 145 008c 2D91      		ld r18,X+
 146 008e 3D91      		ld r19,X+
 147 0090 4D91      		ld r20,X+
 148 0092 5C91      		ld r21,X
 149 0094 0E94 0000 		call __eqsf2
 150               	.LVL11:
 151 0098 8823      		tst r24
 152 009a 01F4      		brne .L15
 153 009c C1E0      		ldi r28,lo8(1)
 154 009e D0E0      		ldi r29,hi8(1)
 155               	.L15:
